row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
2,53,-59.36,83.77,0.5404606017632962,0.6732172042782346,1.2269534662930246,-0.0,1.2269534662930246,0,0,0,0
3,50,-54.36,68.77,0.5455821911359082,0.6687119262560188,1.2266070909039382,-0.0,1.2266070909039382,0,0,0,0
3,51,-54.36,73.77,0.5129418748907199,0.6582748831833465,1.185750058903329,-0.0,1.185750058903329,0,0,0,0
3,52,-54.36,78.77,0.49700606588345486,0.651872174501764,1.1643648512470497,0.012035109094008593,1.1523297421530412,0,0,0,0
3,53,-54.36,83.77,0.49159512132902095,0.6470736133284223,1.1542165838573832,0.029872105767634792,1.1243444780897485,0,0,0,0
3,54,-54.36,88.77,0.4470752607464443,0.645700707824188,1.1126385132784067,0.029872105767634792,1.082766407510772,0,0,0,0
3,55,-54.36,93.77,0.42818332858298513,0.6374629596490795,1.086574251338674,0.012035109094008593,1.0745391422446655,0,0,0,0
4,6,-49.36,-151.23,0.9757424691193107,0.17405490515383723,1.0696286178766006,-0.0,1.0696286178766006,0,0,0,0
4,7,-49.36,-146.23,0.9763148411581372,0.20674085606629777,1.106098298715251,-0.0,1.106098298715251,0,0,0,0
4,8,-49.36,-141.23,0.9784482821939487,0.24634495358058547,1.1515829029131979,-0.0,1.1515829029131979,0,0,0,0
4,44,-49.36,38.77,0.8334347571481596,0.7409718060372756,1.5651602680743468,1.5651602680743468,0.0,0,0,1,1
4,45,-49.36,43.77,0.8272420668746762,0.7249470923795114,1.541959661804671,1.541959661804671,0.0,0,0,1,1
4,46,-49.36,48.77,0.8259683949079668,0.7095334605504793,1.5238583620226973,1.5238583620226973,0.0,0,0,1,1
4,47,-49.36,53.77,0.8071768467045537,0.692011280142147,1.48767157019046,1.094512858574441,0.3931587116160189,0,0,1,1
4,48,-49.36,58.77,0.7253554809770173,0.671728124580127,1.3917208699174552,0.2651894919143263,1.126531378003129,0,0,1,1
4,49,-49.36,63.77,0.6372045949723601,0.6525364738832802,1.2912742567467324,0.04656674619199078,1.2447075105547416,0,0,1,0
4,50,-49.36,68.77,0.570857863681985,0.6357611904462677,1.213109386804681,0.012035109094008609,1.2010742777106724,0,0,0,0
4,51,-49.36,73.77,0.5521975148148996,0.6221370760547881,1.1813285469936765,0.012035109094008593,1.169293437899668,0,0,0,0
4,52,-49.36,78.77,0.5441279016135908,0.6122539691156682,1.163194477479467,0.05938599335569998,1.103808484123767,0,0,0,0
4,53,-49.36,83.77,0.5187533694646866,0.6065771871039498,1.1341129383325628,0.1538237947744809,0.9802891435580818,0,0,0,0
4,54,-49.36,88.77,0.4855824070698763,0.6051444014637637,1.1026830079730288,0.15962568235409852,0.9430573256189303,0,0,0,0
4,55,-49.36,93.77,0.48990023838445795,0.5999321070634708,1.10083553231583,0.07142110244970858,1.0294144298661214,0,0,0,0
4,56,-49.36,98.77,0.5748985811707341,0.5878321093186569,1.1640240433041833,0.012035109094008593,1.1519889342101748,0,0,0,0
4,57,-49.36,103.77,0.5719550683026347,0.5781987196008487,1.1507781530333046,-0.0,1.1507781530333046,0,0,0,0
5,7,-44.36,-146.23,0.9750990144095074,0.20766543375342544,1.1060210900973246,-0.0,1.1060210900973246,0,0,0,0
5,40,-44.36,18.77,0.9326069494542257,0.8208406021075179,1.742270916827073,1.673408866540203,0.06886205028686998,0,0,1,1
5,41,-44.36,23.77,0.944187432458405,0.7939649509044794,1.7231301352074917,1.7231301352074917,0.0,0,0,1,1
5,42,-44.36,28.77,0.8799117974848709,0.7670163181985904,1.6356385677548333,1.6356385677548333,0.0,0,0,1,1
5,43,-44.36,33.77,0.8143721271008698,0.7427547367737768,1.5499651248419373,1.5499651248419373,0.0,0,0,1,1
5,44,-44.36,38.77,0.8169139375681482,0.7212958588789955,1.5286479885782285,1.5286479885782285,0.0,0,0,1,1
5,45,-44.36,43.77,0.8313546780522509,0.7016930838803912,1.520081602515456,1.520081602515456,0.0,0,0,1,1
5,46,-44.36,48.77,0.8539866474919087,0.6803980307531852,1.5170258165712216,1.5170258165712216,0.0,0,0,1,1
5,47,-44.36,53.77,0.8160166121865069,0.6560556672177706,1.456076184907404,1.2308094636042517,0.22526672130315228,0,0,1,1
5,48,-44.36,58.77,0.7561458707961597,0.633222527342832,1.377076063793659,0.3503453376238168,1.0267307261698422,0,0,1,1
5,49,-44.36,63.77,0.6889802337847317,0.6129189234587714,1.294293026210907,0.17680878596004904,1.1174842402508578,0,0,1,0
5,50,-44.36,68.77,0.6100717760992223,0.5954552790965864,1.204065405495545,0.11302722837860361,1.0910381771169415,0,0,0,0
5,51,-44.36,73.77,0.6027873024190848,0.5812844531316376,1.1819214706219778,0.08594539782383356,1.0959760727981442,0,0,0,0
5,52,-44.36,78.77,0.612282313384545,0.5709421651929099,1.1790904637582913,0.1517499559207553,1.027340507837536,0,0,0,0
5,53,-44.36,83.77,0.5737006317524893,0.5649441763883091,1.1377691626043804,0.6417886856804723,0.4959804769239081,0,1,0,0
5,54,-44.36,88.77,0.549075309081356,0.5634392093835145,1.1139509084950865,0.7042805424778928,0.40967036601719364,0,1,0,0
5,55,-44.36,93.77,0.5407487837768821,0.5587248954966477,1.1012712904455064,0.19786197773667102,0.9034093127088354,0,0,0,0
5,56,-44.36,98.77,0.5598158405070522,0.5468727635899009,1.1053942964052381,0.08351334079053832,1.0218809556146997,0,0,0,0
5,57,-44.36,103.77,0.5117134385903215,0.5414592167629045,1.0561472331704844,0.053641235022903536,1.0025059981475808,0,0,0,0
5,58,-44.36,108.77,0.3900081610028151,0.5444316382456185,0.9498821469727139,0.03823629538257253,0.9116458515901413,0,0,0,0
5,59,-44.36,113.77,0.4558124644202056,0.5484876197969631,1.0135675997548446,0.015404939640331,0.9981626601145136,0,0,0,0
6,7,-39.36,-146.23,0.9821250917910238,0.22542106628711564,1.1318757555277486,-0.0,1.1318757555277486,0,0,0,0
6,36,-39.36,-1.23,0.6855285148795931,0.7977877741023008,1.4945422149041647,1.4945422149041647,0.0,0,0,1,1
6,37,-39.36,3.77,0.7307879576312442,0.829060471133015,1.569675680114436,1.569675680114436,0.0,0,0,1,1
6,38,-39.36,8.77,0.800964341864498,0.8267307297033805,1.6302717103517668,1.6302717103517668,0.0,0,0,1,1
6,39,-39.36,13.77,0.8931415626410881,0.8104015134263776,1.6952690711459946,1.6952690711459946,0.0,0,0,1,1
